0.54545,0.42308,0.34783,0.18605,0.10156,0.047904,0.052885,0.039007,0.0098361,0.0026178,0.012821,0.0098232,0.0048309,0.0055633,0.0012151,0.0010881,0,0,0.00080128,0,0,0,0.0013387,0.0018519,0,0.00058754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.73077,0.63043,0.39535,0.25781,0.1976,0.13462,0.085106,0.036066,0.02356,0.025641,0.031434,0.012882,0.019471,0.0060753,0.0021763,0.0020346,0.00092336,0.0040064,0.00074571,0.00074906,0,0.0013387,0.0018519,0,0.0011751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.84615,0.73913,0.55814,0.375,0.26347,0.19231,0.15248,0.078689,0.04712,0.049145,0.049116,0.024155,0.034771,0.0097205,0.0065288,0.0020346,0.0036934,0.005609,0.0029828,0.0029963,0.0013986,0.002008,0.0018519,0.0012353,0.0023502,0,0,0.00053419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.84615,0.76087,0.68605,0.48438,0.32335,0.25962,0.19504,0.12131,0.073298,0.066239,0.072692,0.040258,0.043115,0.018226,0.013058,0.0050865,0.0046168,0.0088141,0.0044743,0.0044944,0.0027972,0.0040161,0.0024691,0.0024707,0.0035253,0,0,0.00053419,0.00056689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.84615,0.82609,0.7907,0.57813,0.39521,0.33654,0.22695,0.17049,0.11518,0.09188,0.11002,0.069243,0.059805,0.029162,0.022851,0.0091556,0.0092336,0.012019,0.0067114,0.0052434,0.0041958,0.0053548,0.0024691,0.0024707,0.0035253,0.00054377,0,0.00053419,0.0011338,0.00063452,0,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.84615,0.82609,0.80233,0.65625,0.47904,0.42308,0.29078,0.22951,0.16492,0.11111,0.12967,0.095008,0.076495,0.036452,0.038085,0.013225,0.014774,0.015224,0.0082028,0.0052434,0.0062937,0.0053548,0.0024691,0.0030883,0.0041128,0.0016313,0.001108,0.00053419,0.0011338,0.00063452,0,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.84615,0.82609,0.83721,0.70313,0.57485,0.49038,0.33688,0.2623,0.20942,0.14103,0.15128,0.1095,0.090403,0.042527,0.04679,0.018311,0.019391,0.016827,0.0096943,0.0074906,0.0076923,0.0060241,0.0024691,0.0030883,0.0047004,0.0021751,0.001108,0.00053419,0.0011338,0.00063452,0,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.84615,0.82609,0.83721,0.71875,0.62275,0.53365,0.38652,0.31148,0.24084,0.16453,0.18075,0.13688,0.1057,0.059538,0.062024,0.028484,0.024007,0.020833,0.013423,0.0097378,0.0097902,0.0073628,0.0030864,0.003706,0.0052879,0.0032626,0.001108,0.00053419,0.0011338,0.001269,0.00067935,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.88462,0.82609,0.86047,0.75,0.67665,0.57212,0.45035,0.34426,0.2801,0.19231,0.20236,0.15459,0.11961,0.078979,0.068553,0.036623,0.027701,0.028045,0.016406,0.014981,0.011888,0.0087015,0.0030864,0.0043237,0.0082256,0.0038064,0.001108,0.00053419,0.0017007,0.0019036,0.0013587,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.88462,0.82609,0.86047,0.77344,0.70659,0.62981,0.49291,0.38689,0.32723,0.22436,0.22593,0.17391,0.14047,0.09599,0.080522,0.040692,0.032318,0.032051,0.020134,0.016479,0.013986,0.01004,0.0037037,0.0049413,0.0082256,0.0038064,0.001108,0.0010684,0.0017007,0.0019036,0.0013587,0,0,0,0,0,0,0,0,0,0,0,0
0.90909,0.88462,0.82609,0.86047,0.86719,0.85629,0.85096,0.81915,0.75082,0.68063,0.53205,0.4833,0.38969,0.34214,0.2418,0.21436,0.16277,0.12927,0.092147,0.058911,0.049438,0.03986,0.031459,0.014815,0.021001,0.015276,0.0087004,0.0055402,0.0064103,0.0068027,0.0069797,0.0027174,0.0047923,0.00094162,0,0,0,0,0,0,0,0,0,0
